speaker,text,label
*PRE,un collectif de Meudon dénonce la hauteur de ses futures tours de bureaux une centaine de mètres chacune,anger
*PRE, l' île écologique prévue par Jean+Nouvel abritera trois+cent+dix+mille mètres carrés de constructions dont près de la moitié consacrée aux activités culturelles,love
*PRE,aucun logement n' est envisagé,fear
*PRE,vous voyez ici la future rue commerçante proche du complexe cinématographique et le grand jardin central plus ou moins couvert en fonction des saisons,joy
*PRE,historique le site accueille l' usine Renault de 1929 à 1992,joy
*PRE,jusqu' à trente+mille employés y assemblent les véhicules de la marque,joy
*PRE,depuis sa fermeture les propositions d' aménagement de cette île de onze hectares se sont multipliées,anger
*PRE,tous abandonnés le projet adopté hier le premier du Grand Paris naît dans la douleur ,sadness
*PRE,les travaux de ce gigantesque chantier devraient débuter en 2013 pour une livraison en 2018 mais plusieurs associations ont déjà annoncé,fear
*POL2,c' est la plus belle concentration de tous les arts qu'on aura à proposer en dans toute l'Europe,love
*POL2,avec les arts numériques euh les arts cinématographiques les arts du cirque les arts du vivant la musique la danse l' art contemporain,joy
*POL2,c' est un festival de pôles de destination,joy
*ARC,il y a eu un commissaire enquêteur,fear
*ARC,il y a eu une enquête qui s' est très très bien passé tout le monde considère qu' il y a un très bon équilibre euh on pointe on a quand même cinq à six cinq à six hectares d' espaces verts,joy
*ARC,tout le monde considère qu' il y a un très bon équilibre euh on pointe on a quand même cinq à six cinq à six hectares d' espaces verts,joy
*ARC,euh on a quand même cinq à six cinq à six hectares d' espaces verts,joy
*RES,Meudon Bellevue c' est euh cent mètres euh de l'Ile Seguin,love
*RES,vous traversez la Seine et vous êtes à Meudon et Meudon c' est juste en face alors à cent mètres mettre une barrière d' immeubles on aurait pu être interrogés,fear
*RES,et Meudon c' est juste en face alors à cent mètres mettre une barrière d' immeubles on aurait pu être interrogés,fear
*POL,vous criez très fort,joy
*POL,la prochaine fois je vous préviens je fais évacuer la salle,sadness
perception,"""criez""""""",anger
perception,affrontements,fear
perception,"""dénonce""""""",anger
perception,"""la plus belle""""""",joy
perception,"""festival""""""",joy
perception,"""douleur""""""",sadness
perception,"""très très bien passé""""""",joy
perception,"""très bon""""""",joy
