speaker,text,label
*PRE, ils devraient durer 10 ans commenceraient en 2012,joy
*PRE, il faut dire qu' il y a urgence ,fear
*PRE,regardez ce reportage de William Van Qui et de Daniel Petitcuenot) ,anger
*PRE,aller est avec nous sur le plateau ,joy
*PRE,Daik (Codouite) alors vous étiez hier à la cité de l' architecture dans les transports,anger
*PRE,le chef de l' État a annoncé ,anger
*PRE,on l' a dit une fois en mesure d' orientation,fear
*PRE,à vous donner le trounis,sadness
*PRE,alors également avec nous en direct sur ce plateau,joy
*PRE,Jean-François Lamour un Élu parisien ,anger
*PRE,bonjour merci d'être là,love
*PRE,vous êtes président du groupe UMP à la ville de Paris,anger
*PRE,le président de la République a repris les propositions des socialistes ,anger
*PRE, notamment sur l' urgence de la ligne 13 ,fear
*PRE, on en parlait à l'instant  et la ligne 14,anger
*PRE,votre réaction,anger
*PRE,merci,joy
*PRE,merci monsieur Lamour vous restez bien sûr en direct avec nous,joy
*PRE,autre gros chantier le logement ,anger
*PRE,70 mille logements doivent être construits par an en Ile-de-France ,joy
*PRE,soit le double de ce qui se fait actuellement le président de la République ,anger
*PRE,veut en finir avec les dortoirs avec les zones d' activités industrielles il souhaite réintroduire des villes ,anger
perso 1,et c'est comme ça tous les matins,anger
perso 1,du lundi au vendredi,anger
perso 1,maman de trois petites filles,joy
perso 1,Valérie Martins laisse sa famille endormie ,sadness
perso 1,pour prendre son train à six heures,fear
perso 1,dans la petite gare de Fontaine-le-Port,fear
perso 1,depuis décembre,anger
perso 1,Valérie n' a plus de trains directs entre Fontaine-le-Port et Paris,sadness
perso 1,elle doit changer de quai à Melun ,fear
perso 1,quelques minutes de plus dans son trajet ,fear
perso 1,ce matin -là comme souvent c' est un petit gris ,anger
perso 1,qui se présente,joy
perso 1,une fois Gare de Lyon ,fear
perso 1,Valérie est encore très loin d' être arrivée ,fear
perso 1,elle doit prendre une correspondance ,fear
perso 1,ligne quatorze,fear
perso 1,puis ligne neuf et encore cinq minutes à pied ,fear
perso 1,jusqu' à son travail,fear
perso 1,Valérie est brodeuse,anger
perso 1,dans un atelier de couture du 16e arrondissement ,fear
perso 1,porte-à-porte elle aura  mis une heure quarante cinq ,fear
perso 1,un trajet qu' il faudra refaire en sens inverse dans quelques heures ,fear
perso 1,un sommeil bien mérité car demain déjà tout recommence ,joy
perso 2,c' est un rythme à prendre euh,joy
perso 2,je me lève à cinq heures et puis après euh je,joy
perso 2,je viens à pied c'est 10 minutes à pied ,joy
perso 2, j' ai claqué la porte il y avait ,fear
